id,pack_sha256,pack_dimensions,pack_bbox,measured_bbox_alpha32,pack_anchor,pack_shadow,baseline_state,baseline_sha256,baseline_dimensions,baseline_bbox,baseline_anchor,baseline_shadow,zip_copy
commun_bordure_fleurs_statique_ordinaire_00.png,b29d25889350b2f66fc071ab5fd86ec81f2a24bb8d81098744a9e36dfa5ed7e1,204x132,"[24, 28, 180, 115]","[24, 28, 180, 115]","[102, 120]",separate_contact,new,,,,,,False
commun_bordure_herbe_debordante_statique_ordinaire_00.png,d6e423e8fedb8164131a77193725b7709e78826eeab59de28b52934d111e4cc0,204x104,"[24, 20, 180, 89]","[24, 20, 180, 89]","[102, 92]",separate_contact,new,,,,,,False
commun_bordure_mixte_statique_ordinaire_00.png,88d15acb6c470419577590732ad3c99564a9e7042363353ce661d3e8f1828bf2,244x124,"[24, 28, 217, 108]","[24, 28, 217, 108]","[122, 112]",separate_contact,new,,,,,,False
commun_bordure_rochers_statique_ordinaire_00.png,93bee5d557fb6007309cbd4b8526756768ccd18187b81361e9085a1b6e7d91f3,180x104,"[24, 28, 156, 86]","[24, 28, 156, 86]","[90, 92]",separate_contact,new,,,,,,False
commun_decor_bosquet_bas_statique_ordinaire_00.png,5a68f48a70b0546dd14f35d0f1e65440ee639863b83e3ee49072845e0b1f2fc1,332x168,"[16, 24, 316, 156]","[16, 24, 316, 156]","[166, 155]",separate_contact,identical,5a68f48a70b0546dd14f35d0f1e65440ee639863b83e3ee49072845e0b1f2fc1,332x168,"[16, 24, 316, 156]","[166, 155]",separate_contact,True
commun_decor_bosquet_bas_statique_ordinaire_01.png,d595b63e957988fb1aaa9b217a747305828196c1aec79627ce3372f94b22c624,288x172,"[20, 24, 266, 156]","[20, 24, 266, 156]","[144, 160]",separate_contact,new,,,,,,False
commun_decor_bosquet_bas_statique_ordinaire_02.png,b2d1c67c53ddcf8dcb1f7b4b6d66d10807f2aa169b7f19d9bd6a0f767461a320,376x164,"[20, 24, 356, 148]","[20, 24, 356, 148]","[188, 152]",separate_contact,new,,,,,,False
commun_decor_bosquet_haut_statique_ordinaire_00.png,dfb5e5d30d7f264a6abf0615250d693922168bef97c0a34b77af3d98e51e28a6,328x188,"[16, 24, 312, 176]","[16, 24, 312, 176]","[164, 175]",separate_contact,identical,dfb5e5d30d7f264a6abf0615250d693922168bef97c0a34b77af3d98e51e28a6,328x188,"[16, 24, 312, 176]","[164, 175]",separate_contact,True
commun_decor_bosquet_haut_statique_ordinaire_01.png,ac2193d814d544da3e89e5b8d9490983a72b5ef7c4ca1d0d5326926757b62c9b,300x200,"[20, 24, 280, 184]","[20, 24, 280, 184]","[150, 188]",separate_contact,new,,,,,,False
commun_decor_bosquet_haut_statique_ordinaire_02.png,16f844d5e5d1eeba7fee506a95425fe97db07e3e833d57a28a3692e706738386,380x184,"[20, 24, 357, 165]","[20, 24, 357, 165]","[190, 172]",separate_contact,new,,,,,,False
commun_decor_fleurs_blanches_statique_ordinaire_00.png,69732de67130a17526fb194f6c9c8109a1c596d98d77815a6ae6001015e413bc,96x96,"[16, 16, 78, 81]","[16, 16, 78, 81]","[48, 84]",separate_contact,new,,,,,,False
commun_decor_fleurs_jaunes_statique_ordinaire_00.png,5fef0cc9004f5342a84a224aaa64a9bf6d642f281b3513c0158b8b5a1f78af70,84x84,"[16, 16, 68, 71]","[16, 16, 68, 71]","[42, 72]",separate_contact,new,,,,,,False
commun_decor_herbes_folles_statique_ordinaire_00.png,eb44dde38dfda49b58061567be1bd25d8373d7a98c2e2de1c7e41e2c2e2dce72,76x68,"[16, 16, 57, 54]","[16, 16, 57, 54]","[38, 56]",separate_contact,new,,,,,,False
commun_decor_rochers_herbe_statique_ordinaire_00.png,0dc42311776db9d7efc9066536ff2ef3d9479506ad81374c28c1221ad8a04446,216x148,"[16, 24, 200, 136]","[16, 24, 200, 136]","[108, 135]",separate_contact,identical,0dc42311776db9d7efc9066536ff2ef3d9479506ad81374c28c1221ad8a04446,216x148,"[16, 24, 200, 136]","[108, 135]",separate_contact,True
commun_decor_rochers_statique_ordinaire_00.png,790804dd4c017d36e50a0589c2c3667a9787a6a754a000f64caacdd47c6ec6fd,172x124,"[20, 24, 152, 105]","[20, 24, 152, 105]","[86, 112]",separate_contact,new,,,,,,False
commun_decor_rochers_statique_ordinaire_01.png,785a8a2eb172af0437c1e376cad82db1ea16fccd3f6c902fce60d86a938bef82,208x144,"[20, 24, 186, 125]","[20, 24, 186, 125]","[104, 132]",separate_contact,new,,,,,,False
commun_decor_rochers_statique_ordinaire_02.png,dcd1d4fe5ab3b80c24ebea7ddca1a5faa0f24999e568df32245ef07a4c00e878,244x164,"[20, 24, 222, 147]","[20, 24, 222, 147]","[122, 152]",separate_contact,new,,,,,,False
commun_decor_rochers_statique_ordinaire_03.png,b72399034aa3eba663a02587a52f3c3060530bb9ddd6b862e0c359442e8da606,240x148,"[24, 28, 213, 132]","[24, 28, 213, 132]","[120, 136]",separate_contact,new,,,,,,False
commun_decor_tonneau_bois_statique_ordinaire_00.png,41ed1b06bf3aada3b057d7e4ba5493642364d1c93bb948619d52aa4e724b7f8f,196x220,"[20, 20, 175, 208]","[20, 20, 175, 208]","[97, 207]",separate_contact,identical,41ed1b06bf3aada3b057d7e4ba5493642364d1c93bb948619d52aa4e724b7f8f,196x220,"[20, 20, 175, 208]","[97, 207]",separate_contact,True
commun_decor_touffe_herbe_statique_ordinaire_00.png,0f470cbe571dac2efdabbb177710b5a18f6b14a31e6df956e14d9a7c33aacf10,76x80,"[16, 16, 59, 66]","[16, 16, 59, 66]","[38, 68]",separate_contact,new,,,,,,False
commun_decor_touffe_herbe_statique_ordinaire_01.png,6dbb5cd718de08c223542ca38515e3b275e0400a058c25e5c9e7e2ed55aaafdf,72x72,"[16, 16, 53, 59]","[16, 16, 53, 59]","[36, 60]",separate_contact,new,,,,,,False
commun_decor_trefle_statique_ordinaire_00.png,fe0756601721700ec2346152eb74caf3a64a7334ecc6c15178e96608b65ba7b4,88x84,"[16, 16, 70, 71]","[16, 16, 70, 71]","[44, 72]",separate_contact,new,,,,,,False
commun_decor_treillis_bois_fleuri_statique_ordinaire_00.png,181b8c1f0b2b3c43cfe27d498fc36eb0733da1c5b3c076ec51cbcf8f86ce01d9,268x284,"[24, 28, 242, 268]","[24, 28, 242, 268]","[134, 272]",separate_contact,new,,,,,,False
commun_decor_treillis_bois_fleuri_statique_ordinaire_01.png,7b409a80fa662b6a9c8c0fe766d32967ac7e6666803919df5b4ecd02f26e6245,268x284,"[24, 28, 242, 268]","[24, 28, 242, 268]","[134, 272]",separate_contact,new,,,,,,False
commun_decor_treillis_bois_statique_ordinaire_00.png,df98588c6dea96c078386933f9ad428417b951bb91c9f5ab79aa3d0c9c460e56,284x272,"[33, 20, 251, 260]","[33, 20, 251, 260]","[142, 259]",separate_contact,identical,df98588c6dea96c078386933f9ad428417b951bb91c9f5ab79aa3d0c9c460e56,284x272,"[33, 20, 251, 260]","[142, 259]",separate_contact,True
commun_ombre_contact_allongee_statique_ordinaire_00.png,919d8b05ea3d6097fe6d80db8f0b02f05b52c8349cb34f5d7aee962c5aed0e69,312x100,"[20, 24, 289, 81]","[37, 37, 272, 68]","[156, 88]",separate_contact,new,,,,,,False
commun_ombre_contact_large_statique_ordinaire_00.png,623562c7b3da322bf3db65dd98d42d25c2316b8f67449ea0d7a4d56f6b65800e,296x116,"[20, 24, 273, 99]","[37, 39, 256, 84]","[148, 104]",separate_contact,new,,,,,,False
commun_ombre_contact_moyenne_statique_ordinaire_00.png,dbaa29d18f7f3b96653ac1de4852597fe917abc7addf1be400373a683293d4f0,220x100,"[20, 24, 197, 84]","[33, 36, 184, 72]","[110, 88]",separate_contact,new,,,,,,False
commun_ombre_contact_petite_statique_ordinaire_00.png,204016875eca0bdba1cb01ad43a0a649e2ed621ee6fa7333be20b1f63ed97db4,156x88,"[20, 24, 135, 72]","[31, 33, 124, 63]","[78, 76]",separate_contact,new,,,,,,False
commun_sol_chemin_pierres_courbe_droite_statique_ordinaire_00.png,0eddafa193fd4ab156275be50cfd30f0ec6a05e7ee0ff54faca60cb8fdf05e88,220x284,"[24, 24, 193, 264]","[27, 24, 193, 253]","[110, 272]",separate_contact,new,,,,,,False
commun_sol_chemin_pierres_courbe_gauche_statique_ordinaire_00.png,d4b140f7d1f43d76365ceccd4cfd214729369fc084f419f3102338c1bb51348c,200x284,"[24, 24, 173, 264]","[24, 24, 168, 253]","[100, 272]",separate_contact,new,,,,,,False
commun_sol_chemin_pierres_droit_statique_ordinaire_00.png,05bac954a383122c00dece9227ae572ea7234e9e424bbd1e26586475f9033a8b,176x296,"[24, 24, 150, 273]","[24, 24, 150, 262]","[88, 284]",separate_contact,new,,,,,,False
commun_sol_pas_pierre_statique_ordinaire_00.png,d09ec9256d2a6dc17b25bde04e8ba569f1d2af9b1f043ffeeaea7d251d3f17a3,164x116,"[16, 16, 145, 104]","[20, 16, 138, 88]","[82, 104]",separate_contact,new,,,,,,False
commun_sol_pas_pierre_statique_ordinaire_01.png,db697fdd961cb9e5b4168e906df438c3e9edf6aca625b6dcb0725bbba105745c,164x120,"[16, 16, 146, 106]","[16, 16, 146, 90]","[82, 108]",separate_contact,new,,,,,,False
commun_sol_pas_pierre_statique_ordinaire_02.png,3752229b77c5e25a9ef4961de5d7fc94d485ba26a1a18f618cc8180c3f6370c3,172x120,"[16, 16, 156, 107]","[16, 16, 156, 92]","[86, 108]",separate_contact,new,,,,,,False
commun_sol_pas_pierre_statique_ordinaire_03.png,0cfbb578afe928d96bb9aba64c305b945273fae7123a9fa77ad5569fecb1c0ad,168x120,"[16, 16, 149, 106]","[17, 16, 149, 90]","[84, 108]",separate_contact,new,,,,,,False
commun_sol_pas_pierre_statique_ordinaire_04.png,172b344df8e7ffe5a6d59b20827d2d5ffd3103d2a648a4a4135c402f4f6acace,164x112,"[16, 16, 146, 100]","[16, 16, 139, 87]","[82, 100]",separate_contact,new,,,,,,False
commun_sol_pas_pierre_statique_ordinaire_05.png,990d271aed606486e49d44a13adff8629c66aa09c17c2efe3bf83630edec30f0,164x116,"[16, 16, 145, 101]","[18, 16, 134, 88]","[82, 104]",separate_contact,new,,,,,,False
fleurs_plante_lavande_adulte_sans_production_ordinaire_00.png,2db13587a8c71cd789ea032194d969747ceaabb49de52dcd9a3494c185c0f8fb,284x292,"[9, 9, 275, 283]","[9, 9, 275, 283]","[142, 282]",separate_contact,changed,351c7586ad3452dc574fddb69ed47b3d6b0d7dc8ce5ce690e727b4858014aacb,1774x887,"[489, 32, 1296, 860]",,,True
fleurs_plante_lavande_jeune_ordinaire_00.png,e57575538d4026ea0869e7d1d0da740f8577dd00a80019954df6098ecae2be25,176x200,"[9, 9, 167, 191]","[9, 9, 167, 191]","[88, 190]",separate_contact,changed,92da7931f9d7aae6993f7f3ffe9750bd593e80b8ebae9e3646869aae2e00c0b2,1774x887,"[630, 155, 1159, 758]",,,True
fleurs_plante_lavande_recoltable_ordinaire_00.png,2bddf259f823d9132f00ecefece763ba93969c54361a9b46f3f101ba5caca12d,284x292,"[9, 9, 275, 283]","[9, 9, 275, 283]","[142, 282]",separate_contact,changed,f33d30df71d364d6056ff26cee61feafeac47d2090ef927a18b83b41d23559e1,1774x887,"[491, 36, 1291, 858]",,,True
fleurs_plante_tournesol_adulte_sans_production_ordinaire_00.png,4f130aeefccab386f5de6a3eaba389ca55a5b4eaba26158721815a0888032c93,304x308,"[9, 9, 296, 299]","[9, 9, 296, 299]","[152, 298]",separate_contact,changed,1fc826833b6e99d870b80f0fc3579589f45fe9c4347d405e20b66cec684a22c5,1297x1212,"[178, 139, 1136, 1113]",,,True
fleurs_plante_tournesol_jeune_ordinaire_00.png,bcd220b792ab93364660ecee6b2f6de1387217b01727a94f00dfc1b7ff9fa374,196x180,"[8, 8, 188, 172]","[8, 8, 188, 172]","[98, 170]",separate_contact,changed,15714e8285a582c08d1edbf105da7af7f56b699f6ef3be49a41dadb3b4d63e06,1774x887,"[487, 96, 1263, 805]",,,True
